Column1,Column2,Column3,Column4,Column6
AM000037683,408670,439500,17980,JABJUR-IN-ARMENIA             
AM000037686,407800,438300,15230,GUMRI                         
AM000037689,406000,440000,17270,ARTIK                         
AM000037693,410000,443670,14000,STEPANAVAN                    
AM000037694,409000,444000,20610,PUSHKINSKIY
AM000037695,408330,442670,15550,SPITAK                        
AM000037698,406000,445000,19860,ANKAVAN                       
AM000037699,405330,443830,18920,APARAN                        
AM000037700,403000,449000,31030,ERATUMBER                     
AM000037704,408170,445000,13790,VANADZOR                      
AM000037705,408000,446000,17980,LERMONTOVO                    
AM000037706,407500,448670,12550,DILIJAN                       
AM000037708,407000,449000,20970,SEMENOVKA                     
AM000037711,408670,451500,7330,IDJEVAN                       
AM000037713,409000,455000,6920,BERD                          
AM000037719,406000,453500,18340,CHAMBARAK                     
AM000037772,404000,439000,16370,TALIN                         
AM000037773,405000,439000,21510,GARNOVIT                      
AM000037774,403170,436670,12550,ARAGATS                       
AM000037781,405000,442000,32230,ARAGAC VISOKOGORNAYA          
AM000037782,404000,443000,18930,AMBERD (KOSHABULAKH)          
AM000037785,403000,444000,10920,ASTARAK                       
AM000037786,403000,445000,13390,EGVARD                        
AM000037787,401330,440500,8650,ARMAVIR                       
AM000037789,402000,445000,11130,YEREVAN                       
AM000037791,404000,446830,18000,FANTAN                        
AM000037792,404830,447500,17610,HRAZDAN                       
AM000037798,401000,447000,14270,GARNI                         
AM000037801,403500,451331,19610,GAVAR                         
AM000037802,405000,453000,19290,SHORJA                        
AM000037808,405000,453000,19430,MARTUNI                       
AM000037815,402000,457500,19400,MASRIK                        
AM000037871,398170,445670,8220,ARARAT                        
AM000037872,399000,449000,10640,URCADZOR                      
AM000037873,400000,452300,23340,YANYKH                        
AM000037874,397670,453330,13170,EHGNADZOR                     
AM000037875,397000,452000,10080,ARENY                         
AM000037876,398000,454000,13120,EHEGNADZOR                    
AM000037878,398000,450000,21300,BESIIMYANNIY
AM000037880,397000,457000,23920,KOCHBEC                       
AM000037884,398000,458000,20750,D'ERMUK                       
AM000037887,396000,455000,19420,MARTIROS                      
AM000037897,395330,460170,15810,SISIAN                        
AM000037954,392000,462000,25740,KADJARAN                      
AM000037958,389000,462500,6280,MEGRI                         
AM000037959,392000,464330,7060,KAPAN                         
AMM00037717,405670,450000,19170,SEVAN OZERO                   
AO000066160,-88500,132330,740,LUANDA                        
AO000066270,-114170,151170,13040,WAKU KUNGU (CELA)             
AO000066390,-149330,135670,17610,LUBANGO (SA DA BAND           
AO000066410,-146500,176830,13430,MENONGUE (SERPA PIN           
AO000066422,-152000,121500,450,MOCAMEDES                     
AO000066447,-158330,203500,10880,MAVINGA                       
AQC00914000,-143167,-1707667,4084,AASUFOU                       
AQC00914005,-142667,-1706500,1829,AFONO                         
AQC00914021,-142667,-1705833,61,AMOULI TUTUILA                
AQC00914060,-142667,-1706833,808,ATUU                          
AQC00914135,-143000,-1707000,2499,FAGA ALU RSVR                 
AQC00914138,-142833,-1706833,241,FAGA ALU STREAM               
AQC00914141,-142667,-1706167,46,FAGAITUA                      
AQC00914145,-142833,-1707167,149,FAGASA TUTUILA                
AQC00914149,-142833,-1706833,570,FAGA TOGO                     
AQC00914188,-142167,-1685333,61,FALEASAO TAU                  
AQC00914248,-142333,-1695167,49,FALEASAO VILLAGE              
AQC00914397,-143500,-1707833,61,LEONE                         
AQC00914424,-142333,-1695167,61,LUMA VILLAGE                  
AQC00914594,-143333,-1707667,424,MALAELOA                      
AQC00914650,-141667,-1697167,30,OFU                           
AQC00914822,-110500,-1710833,30,SWAIN ISLAND                  
AQC00914869,-143333,-1707167,30,TAFUNA AP TUTUILA             
AQC00914873,-143500,-1707667,149,TAPUTIMU TUTUILA              
AQC00914902,-142728,-1706922,808,VAIPITO                       
AQC00914912,-142500,-1706667,30,VATIA                         
AQW00061705,-143306,-1707136,37,PAGO PAGO WSO AP              
AR000000001,-296000,-581500,1090,BAIBENE                       
AR000000002,-298200,-574200,750,BONPLAND                      
AR000000003,-299800,-582800,900,CAZADORES CORRENTINOS         
AR000000004,-307800,-581500,710,CHAJAR355                     
AR000000005,-300300,-578200,740,COLONIA LIBERTAD              
AR000000006,-313800,-580200,380,CONCORDIA                     
AR000000007,-305800,-584500,720,CONQUISTADORES                
AR000000008,-297830,-579830,700,CURUZU CUATIA AERO            
AR000000009,-310000,-579000,380,FEDERACI/363N                 
AR000000010,-306800,-578200,370,MOCORETA LAGO                 
AR000000011,-302670,-576500,530,MONTE CASEROS AERO            
AR000000012,-297300,-570800,580,PASO DE LOS LIBRES            
AR000000013,-304200,-578500,860,PUJOL                         
AR000000014,-310800,-582800,700,REDOM363N                     
AR000000015,-300300,-583000,830,SAN JAIME DE ARRUABARRENA     
AR000000016,-293700,-581800,1100,SOLARI                        
AR000087007,-221000,-656000,34790,LA QUIACA OBSERVATO           
AR000087065,-241670,-629000,2050,RIVADAVIA                     
AR000087078,-247000,-605830,1300,LAS LOMITAS                   
AR000087129,-277670,-643000,2000,SANTIAGO DEL ESTERO           
AR000087155,-274500,-590500,530,RESISTENCIA AERO              
AR000087217,-293830,-668170,4380,LA RIOJA AERO.                
AR000087257,-298830,-619500,880,CERES AERO                    
AR000087270,-291830,-597000,530,RECONQUISTA AERO              
AR000087344,-313170,-642170,4890,CORDOBA AERO                  
AR000087374,-317830,-604830,740,PARANA AERO                   
AR000087418,-328330,-687830,7040,MENDOZA AERO                  
AR000087534,-341330,-633670,1370,LABOULAYE AERO                
AR000087623,-365670,-642660,1920,SANTA ROSA AERO               
AR000087692,-379330,-575830,220,MAR DEL PLATA AERO            
AR000087715,-389500,-681330,2730,NEUQUEN AERO                  
AR000087803,-429330,-711500,7990,ESQUEL AERO                   
AR000087828,-432000,-652660,430,TRELEW AERO                   
AR000087860,-457830,-675000,580,COMODORO RIVADAVIA            
AR000087925,-516170,-692830,190,RIO GALLEGOS AERO             
AR000870470,-248500,-654830,12460,SALTA AERO                    
AR000873050,-302500,-687500,11750,JACHAL                        
AR000875440,-358670,-619000,850,PEHUAJO AERO                  
AR000875850,-345830,-584830,250,BUENOS AIRES OBSERV           
AR000877500,-387330,-621670,750,BAHIA BLANCA AERO             
ARM00087016,-231530,-643290,3560,ORAN                          
ARM00087022,-226200,-637940,4490,GENERAL ENRIQUE MOSCONI TARTA 
ARM00087046,-243930,-650980,9202,JUJUY                         
ARM00087121,-268410,-651050,4557,TENIENTE BENJAMIN MATIENZO    
ARM00087148,-267330,-604830,930,PRESIDENCIA ROQUE SAENZ PENA  
ARM00087162,-262130,-582280,591,FORMOSA                       
ARM00087166,-274460,-587620,619,CORRIENTES                    
ARM00087178,-273860,-559710,1311,POSADAS                       
ARM00087213,-292330,-674330,9450,CHILECITO AERO                
ARM00087222,-285960,-657520,4639,CATAMARCA                     
ARM00087244,-299000,-636830,3410,VILLA MARIA DEL RIO           
ARM00087289,-296890,-571520,701,PASO DE LOS LIBRES            
ARM00087311,-315710,-684180,5971,SAN JUAN                      
ARM00087320,-303670,-662830,4610,CHAMICAL AERO                 
ARM00087322,-313330,-666000,6580,CHEPES                        
ARM00087328,-319450,-651460,5837,VILLA DOLORES                 
ARM00087345,-314000,-641830,4260,CORDOBA OBSERVATORIO          
ARM00087349,-316670,-638830,3380,PILAR OBSERVATORIO            
ARM00087395,-312970,-579970,341,COMODORO PIERRESTEGUI         
ARM00087416,-330830,-684170,6530,SAN MARTIN                    
ARM00087420,-328830,-688500,8270,MENDOZA OBSERVATORIO          
ARM00087436,-332730,-663560,7099,SAN LUIS                      
ARM00087448,-337300,-653870,4849,VILLA REYNOLDS                
ARM00087453,-330850,-642610,4209,RIO CUARTO AREA DE MATERIAL   
ARM00087467,-326840,-621580,1100,MARCOS JUAREZ                 
ARM00087480,-329040,-607850,259,ROSARIO                       
ARM00087497,-330100,-586130,229,GUALEGUAYCHU                  
ARM00087506,-354940,-695740,14301,MALARGUE                      
ARM00087509,-345880,-684030,7529,SAN RAFAEL                    
ARM00087532,-356960,-637580,1399,GENERAL PICO                  
ARM00087548,-345460,-609310,799,JUNIN                         
ARM00087550,-354500,-608830,760,NUEVE DE JULIO                
ARM00087563,-360670,-591000,380,LAS FLORES                    
ARM00087576,-348220,-585360,204,MINISTRO PISTARINI            
ARM00087582,-345590,-584160,55,AEROPARQUE JORGE NEWBERY      
ARM00087593,-349720,-578950,219,LA PLATA                      
ARM00087596,-353670,-572830,220,PUNTA INDIO B.A.              
ARM00087637,-374330,-618830,2330,CORONEL SUAREZ AERO           
ARM00087640,-362000,-610670,940,BOLIVAR AERO                  
ARM00087641,-368330,-598830,1470,AZUL AERO                     
ARM00087643,-368830,-602170,1660,OLAVARRIA AERO                
ARM00087645,-372370,-592280,1750,TANDIL                        
ARM00087648,-363500,-577330,90,DOLORES AIRPORT               
ARM00087679,-376000,-623830,3040,PIGUE AIRPORT                 
ARM00087688,-383870,-603300,1219,TRES ARROYOS                  
ARM00087736,-390170,-640830,790,RIO COLORADO                  
ARM00087765,-411510,-711580,8461,SAN CARLOS DE BARILOCHE       
ARM00087774,-412500,-687330,8880,MAQUINCHAO                    
ARM00087784,-407830,-651000,200,SAN ANTONIO OESTE AERO        
ARM00087791,-408690,-630000,61,GOBERNADOR CASTELLO           
ARM00087800,-419430,-715320,3447,EL BOLSON                     
ARM00087814,-438170,-688830,4600,PASO DE INDIOS                
ARM00087823,-427330,-650670,1360,P.MADRYN AERO                 
ARM00087852,-465170,-710170,4290,PERITO MORENO ARPT            
ARM00087880,-487830,-701670,3560,GOBERNADOR GREGORES           
ARM00087896,-477350,-659040,811,PUERTO DESEADO                
ARM00087903,-503330,-723000,2200,LAGO ARGENTINO ARPT           
ARM00087904,-502670,-720500,2040,EL CALAFATE AERO              
ARM00087909,-493070,-678030,579,SAN JULIAN                    
ARM00087934,-537780,-677490,198,RIO GRANDE                    
ARM00087938,-548430,-682960,216,USHUAIA MALVINAS ARGENTINAS   
ASM00094275,-183000,1435500,2950,GEORGETOWN POST OFFICE        
ASM00094299,-162880,1499650,90,WILLIS ISLAND                 
ASM00094940,-350830,1508000,850,JERVIS BAY                    
ASM00094995,-315420,1590790,70,LORD HOWE ISLAND AERO         
ASM00094997,-531000,737170,120,HEARD ISLAND (THE SPIT)       
ASM00094998,-544990,1589370,83,MACQUARIE ISLAND              
